user_id,hotel_id,rate_star
100000701289508,323940062859,5
100000878311758,1571612506414924,5
100001588634391,1532170243748316,5
100001857906991,313922805328424,5
100001891591957,1430179450611070,4
100002204995250,480461572136306,5
100002336090767,1424009947843059,5
100002569320128,929778327061583,5
100003578394855,973241522755751,5
100004012157097,503706833117673,5
100004596066106,212192215580475,5
100004603204849,365683270164409,5
1009975337,1571612506414924,5
1269601086,411461885661959,5
1377879867,151462301571537,5
1612705947,276309149200455,5
1801827367,1571612506414924,5
1831020980,936624199834683,5
510655554,1571612506414924,5
526488329,1470515046537744,5
597159672,1070723119658555,5
641594020,340415042822036,5
653416471,276309149200455,5
714266983,126883330726174,5
764534674,1486141631617711,5
821310466,563917740343279,5
714266983,151462301571537,2
100002336090767,973241522755751,2
653416471,1571612506414924,1
641594020,936624199834683,3
100002204995250,1424009947843059,1
100001857906991,1532170243748316,3
100002569320128,365683270164409,5
641594020,929778327061583,2
821310466,126883330726174,1
653416471,212192215580475,3
100002569320128,1430179450611070,3
1269601086,1430179450611070,4
764534674,929778327061583,2
1269601086,313922805328424,1
714266983,503706833117673,4
1612705947,411461885661959,2
100004603204849,323940062859,1
100000701289508,1486141631617711,4
1269601086,1424009947843059,3
100001857906991,212192215580475,5
100001588634391,503706833117673,1
100002336090767,411461885661959,2
100004603204849,936624199834683,4
821310466,1470515046537744,2
1612705947,323940062859,2
100002204995250,151462301571537,1
100003578394855,276309149200455,1
714266983,1470515046537744,2
821310466,365683270164409,5
100001588634391,365683270164409,4
1009975337,411461885661959,1
100002569320128,1486141631617711,2
714266983,1430179450611070,3
100001588634391,313922805328424,5
1269601086,276309149200455,2
1801827367,365683270164409,2
653416471,929778327061583,5
100004012157097,929778327061583,2
1612705947,929778327061583,1
100002336090767,929778327061583,3
510655554,503706833117673,1
714266983,973241522755751,3
597159672,1470515046537744,2
1831020980,503706833117673,3
100000701289508,151462301571537,3
1831020980,563917740343279,2
100002336090767,276309149200455,5
100000701289508,1571612506414924,2
1831020980,365683270164409,3
100000878311758,212192215580475,5
1377879867,1430179450611070,2
510655554,1486141631617711,5
1009975337,1424009947843059,1
100000878311758,340415042822036,1
100001588634391,276309149200455,5
100004596066106,929778327061583,4
1801827367,503706833117673,1
1612705947,503706833117673,3
100001588634391,563917740343279,4
1377879867,1470515046537744,3
597159672,929778327061583,5
1377879867,313922805328424,4
597159672,563917740343279,3
597159672,503706833117673,3
100004596066106,563917740343279,3
100004596066106,480461572136306,2
1801827367,1430179450611070,3
764534674,1532170243748316,5
526488329,973241522755751,3
100002336090767,126883330726174,3
100001891591957,1424009947843059,5
821310466,323940062859,3
100003578394855,151462301571537,1
100000701289508,973241522755751,2
1269601086,929778327061583,4
653416471,313922805328424,3
100002204995250,1470515046537744,2
641594020,1424009947843059,1
1009975337,151462301571537,4
1269601086,503706833117673,5
1801827367,276309149200455,1
100002569320128,563917740343279,4
526488329,563917740343279,4
100002569320128,1070723119658555,5
100004603204849,1571612506414924,1
100000701289508,936624199834683,5
100001891591957,276309149200455,4
764534674,1430179450611070,2
100000878311758,1470515046537744,3
1801827367,340415042822036,2
100000701289508,340415042822036,5
597159672,1430179450611070,1
100000878311758,1070723119658555,1
1009975337,929778327061583,4
821310466,212192215580475,2
100003578394855,1571612506414924,1
641594020,1470515046537744,3
526488329,126883330726174,1
100004596066106,323940062859,2
100001588634391,126883330726174,4
1009975337,365683270164409,5
100004603204849,480461572136306,1
510655554,276309149200455,2
1831020980,323940062859,5
100002336090767,1571612506414924,5
100002569320128,1470515046537744,4
100002204995250,563917740343279,3
764534674,480461572136306,3
1009975337,212192215580475,1
1269601086,151462301571537,4
100000701289508,411461885661959,2
100002204995250,1486141631617711,1
510655554,313922805328424,1
100004603204849,340415042822036,4
100001857906991,1430179450611070,2
764534674,340415042822036,1
100004012157097,1430179450611070,4
100001588634391,936624199834683,2
1831020980,1532170243748316,2
100004603204849,126883330726174,3
1377879867,126883330726174,2
1377879867,323940062859,1
100004012157097,1070723119658555,4
1612705947,936624199834683,5
100000701289508,365683270164409,2
1801827367,323940062859,4
821310466,1424009947843059,3
653416471,563917740343279,3
100004596066106,1486141631617711,2
510655554,480461572136306,5
653416471,973241522755751,2
510655554,365683270164409,4
597159672,1486141631617711,3
100004596066106,973241522755751,5
1801827367,313922805328424,3
597159672,151462301571537,1
100004603204849,1430179450611070,5
510655554,973241522755751,2
100001891591957,563917740343279,4
100002204995250,1430179450611070,2
100003578394855,411461885661959,1
100001891591957,929778327061583,1
597159672,1424009947843059,4
100000878311758,480461572136306,3
100001857906991,276309149200455,4
641594020,1532170243748316,3
100001891591957,1571612506414924,4
714266983,212192215580475,3
100001857906991,411461885661959,3
100002336090767,323940062859,1
764534674,1070723119658555,1
1009975337,276309149200455,3
100002336090767,1470515046537744,2
1831020980,1070723119658555,3
100002569320128,1424009947843059,5
100001588634391,1070723119658555,4
100000878311758,365683270164409,5
641594020,563917740343279,5
100001588634391,1470515046537744,3
1009975337,313922805328424,5
100004596066106,126883330726174,1
100002204995250,1571612506414924,5
100003578394855,340415042822036,5
1801827367,1424009947843059,4
821310466,973241522755751,1
510655554,212192215580475,1
100004596066106,340415042822036,4
100003578394855,480461572136306,5
1612705947,1424009947843059,3
100002569320128,1571612506414924,5
100002204995250,276309149200455,4
821310466,340415042822036,4
597159672,973241522755751,4
1009975337,1070723119658555,3
1831020980,1571612506414924,3
510655554,563917740343279,5
641594020,411461885661959,2
100004012157097,276309149200455,2
100000701289508,503706833117673,3
714266983,480461572136306,5
100003578394855,1486141631617711,1
1009975337,973241522755751,2
1801827367,212192215580475,5
821310466,1532170243748316,1
1801827367,411461885661959,3
100004012157097,480461572136306,2
526488329,480461572136306,5
597159672,365683270164409,2
100004012157097,1470515046537744,2
641594020,313922805328424,2
641594020,1070723119658555,4
714266983,929778327061583,5
100004603204849,503706833117673,3
100000878311758,411461885661959,1
100003578394855,1070723119658555,3
653416471,1424009947843059,5
597159672,276309149200455,4
100001857906991,929778327061583,5
100000701289508,929778327061583,5
100002569320128,411461885661959,1
526488329,1424009947843059,2
1377879867,1532170243748316,4
597159672,1571612506414924,5
100001857906991,936624199834683,2
100001891591957,212192215580475,5
714266983,563917740343279,4
641594020,365683270164409,2
100002569320128,973241522755751,5
714266983,411461885661959,1
100004603204849,929778327061583,3
653416471,1470515046537744,4
100001891591957,365683270164409,3
1831020980,411461885661959,2
1612705947,1486141631617711,3
1269601086,936624199834683,1
1377879867,411461885661959,4
1269601086,323940062859,5
1377879867,1070723119658555,5
100001857906991,1486141631617711,2
100000701289508,1070723119658555,1
